Year Month Day,neg,neu,pos
2016-12-15,0.0,32.0,4.0
2016-12-16,0.0,31.0,1.0
2016-12-17,0.0,11.0,0.0
2016-12-18,0.0,17.0,1.0
2016-12-19,0.0,28.0,1.0
2016-12-2,1.0,54.0,0.0
2016-12-20,0.0,25.0,0.0
2016-12-21,1.0,22.0,0.0
2016-12-22,0.0,21.0,0.0
2016-12-23,0.0,19.0,0.0
2016-12-24,0.0,21.0,0.0
2016-12-25,0.0,16.0,0.0
2016-12-26,2.0,27.0,0.0
2016-12-27,0.0,21.0,0.0
2016-12-28,1.0,19.0,0.0
2016-12-29,0.0,19.0,0.0
2016-12-3,0.0,9.0,0.0
2016-12-30,0.0,21.0,0.0
2016-12-31,1.0,38.0,2.0
2016-12-4,0.0,17.0,0.0
2016-12-5,0.0,15.0,0.0
2016-12-6,1.0,18.0,0.0
2016-12-7,1.0,21.0,2.0
2016-12-8,0.0,24.0,0.0
2016-12-9,1.0,22.0,0.0
2016-2-1,0.0,14.0,1.0
2016-2-10,0.0,16.0,0.0
2016-2-11,0.0,20.0,0.0
2016-2-12,1.0,19.0,2.0
2016-2-13,1.0,20.0,0.0
2016-2-14,0.0,18.0,0.0
2016-2-15,0.0,18.0,0.0
2016-2-16,1.0,15.0,0.0
2016-2-17,0.0,11.0,1.0
2016-2-18,1.0,21.0,0.0
2016-2-19,0.0,8.0,2.0
2016-2-2,1.0,12.0,0.0
2016-2-20,0.0,15.0,0.0
2016-2-21,0.0,13.0,1.0
2016-2-22,0.0,9.0,0.0
2016-2-23,0.0,15.0,0.0
2016-2-24,0.0,20.0,0.0
2016-2-25,3.0,25.0,1.0
2016-2-26,0.0,18.0,0.0
2016-2-27,0.0,15.0,0.0
2016-2-28,0.0,11.0,0.0
2016-2-29,0.0,24.0,0.0
2016-2-3,0.0,18.0,0.0
2016-2-4,5.0,187.0,5.0
2016-2-5,0.0,34.0,1.0
2016-2-6,0.0,11.0,0.0
2016-2-7,1.0,7.0,0.0
2016-2-8,1.0,16.0,0.0
2016-2-9,0.0,19.0,0.0
2016-3-1,0.0,13.0,0.0
2016-3-10,1.0,70.0,1.0
2016-3-11,0.0,15.0,0.0
2016-3-12,0.0,9.0,1.0
2016-3-13,0.0,14.0,0.0
2016-3-14,0.0,14.0,0.0
2016-3-15,0.0,19.0,0.0
2016-3-16,0.0,13.0,0.0
2016-3-17,0.0,13.0,0.0
2016-3-18,0.0,17.0,0.0
2016-3-19,1.0,3.0,0.0
2016-3-2,0.0,15.0,0.0
2016-3-20,0.0,4.0,0.0
2016-3-21,1.0,12.0,0.0
2016-3-22,0.0,38.0,0.0
2016-3-23,0.0,19.0,1.0
2016-3-24,0.0,51.0,0.0
2016-3-25,0.0,15.0,1.0
2016-3-26,1.0,18.0,1.0
2016-3-27,0.0,9.0,0.0
2016-3-28,0.0,15.0,1.0
2016-3-29,0.0,18.0,0.0
2016-3-3,0.0,25.0,0.0
2016-3-30,0.0,10.0,0.0
2016-3-31,0.0,24.0,0.0
2016-3-4,0.0,18.0,0.0
2016-3-5,0.0,5.0,0.0
2016-3-6,0.0,8.0,1.0
2016-3-7,0.0,17.0,0.0
2016-3-8,0.0,19.0,0.0
2016-3-9,0.0,82.0,2.0
2016-4-1,1.0,20.0,1.0
2016-4-10,0.0,6.0,0.0
2016-4-11,0.0,12.0,1.0
